product_name,plan_name,monthly_price,billing_unit,free_plan,enterprise_plan,pricing_notes,source_url,source_accessed
Zendesk,Support Team,19,agent/mo billed annually,false,false,"Official Zendesk pricing page title lists starting from $19/month; embedded pricing data includes Support Team annual pricing. Verify current plan packaging before purchase.",https://www.zendesk.com/pricing/,2026-05-02
Zendesk,Suite + Copilot Professional,155,agent/mo billed annually,false,false,"Official Zendesk pricing page lists Suite + Copilot Professional at $155 per agent/month billed annually.",https://www.zendesk.com/pricing/,2026-05-02
Zendesk,Suite + Copilot Enterprise,209,agent/mo billed annually,false,true,"Official Zendesk pricing page lists Suite + Copilot Enterprise at $209 per agent/month billed annually.",https://www.zendesk.com/pricing/,2026-05-02
Freshdesk,Free Program,,1-2 agents for 6 months,true,false,"Official Freshdesk pricing page lists a $0 free program for 1-2 agents for 6 months.",https://www.freshworks.com/freshdesk/pricing/,2026-05-02
Freshdesk,Growth,19,agent/mo billed annually,false,false,"Official Freshdesk pricing page lists Growth at $19 per agent/month billed annually.",https://www.freshworks.com/freshdesk/pricing/,2026-05-02
Freshdesk,Pro,55,agent/mo billed annually,false,false,"Official Freshdesk pricing page lists Pro at $55 per agent/month billed annually.",https://www.freshworks.com/freshdesk/pricing/,2026-05-02
Freshdesk,Enterprise,89,agent/mo billed annually,false,true,"Official Freshdesk pricing page lists Enterprise at $89 per agent/month billed annually.",https://www.freshworks.com/freshdesk/pricing/,2026-05-02
Zoho Desk,Free Edition,,limited users,true,false,"Official Zoho Desk pricing page lists a Free Edition; paid tier currency/prices are region-selectable and should be verified in the buyer's region.",https://www.zoho.com/desk/pricing.html,2026-05-02
Zoho Desk,Express,,region-specific,false,false,"Official Zoho Desk pricing page lists Express as a paid tier; numeric USD pricing was not normalized from the fetched regional page.",https://www.zoho.com/desk/pricing.html,2026-05-02
Zoho Desk,Standard,,region-specific,false,false,"Official Zoho Desk pricing page lists Standard as a paid tier; numeric USD pricing was not normalized from the fetched regional page.",https://www.zoho.com/desk/pricing.html,2026-05-02
Zoho Desk,Professional,,region-specific,false,false,"Official Zoho Desk pricing page lists Professional as a paid tier; numeric USD pricing was not normalized from the fetched regional page.",https://www.zoho.com/desk/pricing.html,2026-05-02
Zoho Desk,Enterprise,,region-specific,false,true,"Official Zoho Desk pricing page lists Enterprise as a paid tier; numeric USD pricing was not normalized from the fetched regional page.",https://www.zoho.com/desk/pricing.html,2026-05-02
Jira Service Management,Free,0,agent/mo,true,false,"Official Atlassian Service Collection pricing page lists Free forever for 3 agents.",https://www.atlassian.com/collections/service/pricing,2026-05-02
Jira Service Management,Standard,20,agent/mo,false,false,"Official Atlassian Service Collection pricing page lists Standard at $20 per agent/month.",https://www.atlassian.com/collections/service/pricing,2026-05-02
Jira Service Management,Premium,51.42,agent/mo,false,false,"Official Atlassian Service Collection pricing page lists Premium at $51.42 per agent/month.",https://www.atlassian.com/collections/service/pricing,2026-05-02
Jira Service Management,Enterprise,,quote-based,false,true,"Official Atlassian Service Collection pricing page lists Enterprise as a higher tier; verify quote and current packaging.",https://www.atlassian.com/collections/service/pricing,2026-05-02
ServiceNow,ITSM Foundation,,custom quote,false,true,"Official ServiceNow ITSM pricing page uses Get Custom Quote and lists ITSM Foundation package.",https://www.servicenow.com/products/itsm/pricing.html,2026-05-02
ServiceNow,ITSM Advanced,,custom quote,false,true,"Official ServiceNow ITSM pricing page uses Get Custom Quote and lists ITSM Advanced package.",https://www.servicenow.com/products/itsm/pricing.html,2026-05-02
ServiceNow,ITSM Prime,,custom quote,false,true,"Official ServiceNow ITSM pricing page uses Get Custom Quote and lists ITSM Prime package.",https://www.servicenow.com/products/itsm/pricing.html,2026-05-02
otrs,Starter,,custom quote,false,true,"Official OTRS service package page lists Starter and asks buyers to get pricing.",https://otrs.com/how-to-buy/service-levels/,2026-05-02
otrs,Advanced,,custom quote,false,true,"Official OTRS service package page lists Advanced and asks buyers to get pricing.",https://otrs.com/how-to-buy/service-levels/,2026-05-02
otrs,Pro,,custom quote,false,true,"Official OTRS service package page lists Pro and asks buyers to get pricing.",https://otrs.com/how-to-buy/service-levels/,2026-05-02
